period_days,duration_hrs,depth_ppm,radius_rearth,impact,teff,logg,st_rad,mission,label
8.01078456,2.312,1333.6,1.72,0.192,3713.0,4.779,0.47,KEPLER,CONFIRMED
12.07134205,4.3224,759.2,1.29,0.014,3713.0,4.779,0.47,KEPLER,CONFIRMED
20.99587872,2.6333,767.3,1.3,0.228,3713.0,4.779,0.47,KEPLER,CONFIRMED
7.41113177,2.5242,620.5,2.45,0.712,5849.0,4.517,0.919,KEPLER,CONFIRMED
1.000747038,0.9967,1823.5,4.14,0.908,5472.0,4.499,0.79,KEPLER,FALSE POSITIVE
8.884922995,2.07004,16053.0,10.51,0.069,5332.0,4.5,0.843,KEPLER,CONFIRMED
8.09888906,4.20241,6911.1,8.95,0.018,6214.0,4.442,1.076,KEPLER,CONFIRMED
10.00653012,5.344,936.1,3.52,0.862,6063.0,4.47,1.001,KEPLER,CONFIRMED
17.855221681,7.41287,9065.2,13.16,0.075,6823.0,4.308,1.367,KEPLER,CONFIRMED
12.732624065,2.2083,6465.7,4.87,0.811,3950.0,4.721,0.541,KEPLER,CANDIDATE
83.92494032,6.7904,7958.7,4.78,0.658,3960.0,4.746,0.509,KEPLER,CANDIDATE
5.007316661,4.2362,6932.3,6.96,0.344,5865.0,4.563,0.827,KEPLER,CONFIRMED
2.211116989,1.6485,724.2,1.85,0.69,4500.0,4.656,0.646,KEPLER,CONFIRMED
27.9541337,3.95,942.5,1.9,0.063,4500.0,4.656,0.646,KEPLER,CONFIRMED
12.69104387,3.7727,252.1,2.57,0.008,5869.0,4.024,1.626,KEPLER,CONFIRMED
4.409409243,3.8636,12861.0,10.95,0.028,5600.0,4.368,0.975,KEPLER,FALSE POSITIVE
16.23947096,4.0374,2590.7,4.14,0.043,5191.0,4.564,0.837,KEPLER,CONFIRMED
6.308201629,2.9785,1328.5,2.96,0.03,5191.0,4.564,0.837,KEPLER,CONFIRMED
2.052349884,2.0778,14281.0,13.12,0.437,5855.0,4.393,1.08,KEPLER,CONFIRMED
9.7704486,2.4517,1897.8,2.23,0.09,3906.0,4.73,0.509,KEPLER,CONFIRMED
5.169804269,2.153,1037.4,1.66,0.351,3906.0,4.73,0.509,KEPLER,CONFIRMED
21.22261195,6.5093,366.0,2.48,0.02,5945.0,4.213,1.302,KEPLER,CONFIRMED
20.09017037,4.154,1432.1,2.25,0.886,3906.0,4.73,0.509,KEPLER,CONFIRMED
7.11373257,2.1764,807.6,1.16,0.334,3561.0,4.855,0.411,KEPLER,CONFIRMED
3.306551643,1.8177,509.2,0.91,0.001,3561.0,4.855,0.411,KEPLER,CONFIRMED
15.36845737,2.4714,756.1,1.11,0.115,3561.0,4.855,0.411,KEPLER,CONFIRMED
13.81020318,3.048,1309.7,4.56,0.791,5942.0,4.327,1.142,KEPLER,CONFIRMED
4.093578461,2.5833,538.6,2.85,0.93,6077.0,4.471,0.999,KEPLER,CONFIRMED
105.145959,8.593,685.4,3.43,0.964,6077.0,4.471,0.999,KEPLER,CONFIRMED
10.8484518,2.9993,1675.6,2.34,0.21,4201.0,4.682,0.591,KEPLER,CONFIRMED
6.66833241,1.915,362.3,1.18,0.644,4201.0,4.682,0.591,KEPLER,CONFIRMED
4.082274889,3.23015,17859.0,10.55,0.093,5655.0,4.581,0.794,KEPLER,CONFIRMED
3.886655224,3.1646,581.6,1.87,0.649,5662.0,4.61,0.738,KEPLER,CANDIDATE
42.1406089,5.083,895.5,1.85,0.045,4500.0,4.656,0.646,KEPLER,CONFIRMED
4.617490562,2.2618,575.8,1.62,0.649,4500.0,4.656,0.646,KEPLER,CONFIRMED
10.19849255,2.4283,634.1,1.75,0.714,4500.0,4.656,0.646,KEPLER,CONFIRMED
5.795063956,3.2496,1692.9,4.33,0.949,5865.0,4.563,0.827,KEPLER,FALSE POSITIVE
7.15681552,2.5882,867.0,2.47,0.45,5029.0,4.494,0.838,KEPLER,CONFIRMED
17.64830851,2.0873,763.3,2.43,0.653,5029.0,4.494,0.838,KEPLER,CONFIRMED
4.14810719,2.535,175.2,1.08,0.093,5029.0,4.494,0.838,KEPLER,CONFIRMED
16.51410989,4.1575,973.5,2.72,0.395,5527.0,4.488,0.866,KEPLER,CONFIRMED
30.1329298,5.172,1015.8,3.14,0.839,5527.0,4.488,0.866,KEPLER,CONFIRMED
4.79090809,2.603,251.3,1.36,0.11,5527.0,4.488,0.866,KEPLER,CONFIRMED
